,year,day,complete,updated_on
0,2019,1,1,2026-01-27 10:26:34.227595
1,2019,2,1,2026-01-27 10:26:34.227595
2,2019,3,1,2026-01-27 10:26:34.227595
3,2019,4,0,2026-01-27 10:26:34.227595
4,2019,5,0,2026-01-27 10:26:34.227595
5,2019,6,0,2026-01-27 10:26:34.227595
6,2019,7,0,2026-01-27 10:26:34.227595
7,2019,8,0,2026-01-27 10:26:34.227595
8,2019,9,0,2026-01-27 10:26:34.227595
9,2019,10,0,2026-01-27 10:26:34.227595
10,2019,11,0,2026-01-27 10:26:34.227595
11,2019,12,0,2026-01-27 10:26:34.227595
12,2019,13,0,2026-01-27 10:26:34.227595
13,2019,14,0,2026-01-27 10:26:34.227595
14,2019,15,0,2026-01-27 10:26:34.227595
15,2019,16,0,2026-01-27 10:26:34.227595
16,2019,17,0,2026-01-27 10:26:34.227595
17,2019,18,0,2026-01-27 10:26:34.227595
18,2019,19,0,2026-01-27 10:26:34.227595
19,2019,20,0,2026-01-27 10:26:34.227595
20,2019,21,0,2026-01-27 10:26:34.227595
21,2019,22,0,2026-01-27 10:26:34.227595
22,2019,23,0,2026-01-27 10:26:34.227595
23,2019,24,0,2026-01-27 10:26:34.227595
24,2020,1,1,2026-01-27 10:26:34.227595
25,2020,2,1,2026-01-27 10:26:34.227595
26,2020,3,1,2026-01-27 10:26:34.227595
27,2020,4,0,2026-01-27 10:26:34.227595
28,2020,5,0,2026-01-27 10:26:34.227595
29,2020,6,0,2026-01-27 10:26:34.227595
30,2020,7,0,2026-01-27 10:26:34.227595
31,2020,8,0,2026-01-27 10:26:34.227595
32,2020,9,0,2026-01-27 10:26:34.227595
33,2020,10,0,2026-01-27 10:26:34.227595
34,2020,11,0,2026-01-27 10:26:34.227595
35,2020,12,0,2026-01-27 10:26:34.227595
36,2020,13,0,2026-01-27 10:26:34.227595
37,2020,14,0,2026-01-27 10:26:34.227595
38,2020,15,0,2026-01-27 10:26:34.227595
39,2020,16,0,2026-01-27 10:26:34.227595
40,2020,17,0,2026-01-27 10:26:34.227595
41,2020,18,0,2026-01-27 10:26:34.227595
42,2020,19,0,2026-01-27 10:26:34.227595
43,2020,20,0,2026-01-27 10:26:34.227595
44,2020,21,0,2026-01-27 10:26:34.227595
45,2020,22,0,2026-01-27 10:26:34.227595
46,2020,23,0,2026-01-27 10:26:34.227595
47,2020,24,0,2026-01-27 10:26:34.227595
48,2021,1,0,2026-01-27 10:26:34.227595
49,2021,2,0,2026-01-27 10:26:34.227595
50,2021,3,0,2026-01-27 10:26:34.227595
51,2021,4,0,2026-01-27 10:26:34.227595
52,2021,5,0,2026-01-27 10:26:34.227595
53,2021,6,0,2026-01-27 10:26:34.227595
54,2021,7,0,2026-01-27 10:26:34.227595
55,2021,8,0,2026-01-27 10:26:34.227595
56,2021,9,0,2026-01-27 10:26:34.227595
57,2021,10,0,2026-01-27 10:26:34.227595
58,2021,11,0,2026-01-27 10:26:34.227595
59,2021,12,0,2026-01-27 10:26:34.227595
60,2021,13,0,2026-01-27 10:26:34.227595
61,2021,14,0,2026-01-27 10:26:34.227595
62,2021,15,0,2026-01-27 10:26:34.227595
63,2021,16,0,2026-01-27 10:26:34.227595
64,2021,17,0,2026-01-27 10:26:34.227595
65,2021,18,0,2026-01-27 10:26:34.227595
66,2021,19,0,2026-01-27 10:26:34.227595
67,2021,20,0,2026-01-27 10:26:34.227595
68,2021,21,0,2026-01-27 10:26:34.227595
69,2021,22,0,2026-01-27 10:26:34.227595
70,2021,23,0,2026-01-27 10:26:34.227595
71,2021,24,0,2026-01-27 10:26:34.227595
72,2022,1,0,2026-01-27 10:26:34.227595
73,2022,2,0,2026-01-27 10:26:34.227595
74,2022,3,0,2026-01-27 10:26:34.227595
75,2022,4,0,2026-01-27 10:26:34.227595
76,2022,5,0,2026-01-27 10:26:34.227595
77,2022,6,0,2026-01-27 10:26:34.227595
78,2022,7,0,2026-01-27 10:26:34.227595
79,2022,8,0,2026-01-27 10:26:34.227595
80,2022,9,0,2026-01-27 10:26:34.227595
81,2022,10,0,2026-01-27 10:26:34.227595
82,2022,11,0,2026-01-27 10:26:34.227595
83,2022,12,0,2026-01-27 10:26:34.227595
84,2022,13,0,2026-01-27 10:26:34.227595
85,2022,14,0,2026-01-27 10:26:34.227595
86,2022,15,0,2026-01-27 10:26:34.227595
87,2022,16,0,2026-01-27 10:26:34.227595
88,2022,17,0,2026-01-27 10:26:34.227595
89,2022,18,0,2026-01-27 10:26:34.227595
90,2022,19,0,2026-01-27 10:26:34.227595
91,2022,20,0,2026-01-27 10:26:34.227595
92,2022,21,0,2026-01-27 10:26:34.227595
93,2022,22,0,2026-01-27 10:26:34.227595
94,2022,23,0,2026-01-27 10:26:34.227595
95,2022,24,0,2026-01-27 10:26:34.227595
96,2023,1,0,2026-01-27 10:26:34.227595
97,2023,2,0,2026-01-27 10:26:34.227595
98,2023,3,0,2026-01-27 10:26:34.227595
99,2023,4,0,2026-01-27 10:26:34.227595
100,2023,5,0,2026-01-27 10:26:34.227595
101,2023,6,0,2026-01-27 10:26:34.227595
102,2023,7,0,2026-01-27 10:26:34.227595
103,2023,8,0,2026-01-27 10:26:34.227595
104,2023,9,0,2026-01-27 10:26:34.227595
105,2023,10,0,2026-01-27 10:26:34.227595
106,2023,11,0,2026-01-27 10:26:34.227595
107,2023,12,0,2026-01-27 10:26:34.227595
108,2023,13,0,2026-01-27 10:26:34.227595
109,2023,14,0,2026-01-27 10:26:34.227595
110,2023,15,0,2026-01-27 10:26:34.227595
111,2023,16,0,2026-01-27 10:26:34.227595
112,2023,17,0,2026-01-27 10:26:34.227595
113,2023,18,0,2026-01-27 10:26:34.227595
114,2023,19,0,2026-01-27 10:26:34.227595
115,2023,20,0,2026-01-27 10:26:34.227595
116,2023,21,0,2026-01-27 10:26:34.227595
117,2023,22,0,2026-01-27 10:26:34.227595
118,2023,23,0,2026-01-27 10:26:34.227595
119,2023,24,0,2026-01-27 10:26:34.227595
120,2024,1,0,2026-01-27 10:26:34.227595
121,2024,2,0,2026-01-27 10:26:34.227595
122,2024,3,0,2026-01-27 10:26:34.227595
123,2024,4,0,2026-01-27 10:26:34.227595
124,2024,5,0,2026-01-27 10:26:34.227595
125,2024,6,0,2026-01-27 10:26:34.227595
126,2024,7,0,2026-01-27 10:26:34.227595
127,2024,8,0,2026-01-27 10:26:34.227595
128,2024,9,0,2026-01-27 10:26:34.227595
129,2024,10,0,2026-01-27 10:26:34.227595
130,2024,11,0,2026-01-27 10:26:34.227595
131,2024,12,0,2026-01-27 10:26:34.227595
132,2024,13,0,2026-01-27 10:26:34.227595
133,2024,14,0,2026-01-27 10:26:34.227595
134,2024,15,0,2026-01-27 10:26:34.227595
135,2024,16,0,2026-01-27 10:26:34.227595
136,2024,17,0,2026-01-27 10:26:34.227595
137,2024,18,0,2026-01-27 10:26:34.227595
138,2024,19,0,2026-01-27 10:26:34.227595
139,2024,20,0,2026-01-27 10:26:34.227595
140,2024,21,0,2026-01-27 10:26:34.227595
141,2024,22,0,2026-01-27 10:26:34.227595
142,2024,23,0,2026-01-27 10:26:34.227595
143,2024,24,0,2026-01-27 10:26:34.227595
